"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.","Município","Ano"
"Cód.","Município","2024"
"1100015","Alta Floresta D'Oeste (RO)","22853"
"1100023","Ariquemes (RO)","108573"
"1100031","Cabixi (RO)","5690"
"1100049","Cacoal (RO)","97637"
"1100056","Cerejeiras (RO)","16975"
"1100064","Colorado do Oeste (RO)","16588"
"1100072","Corumbiara (RO)","8001"
"1100080","Costa Marques (RO)","13522"
"1100098","Espigão D'Oeste (RO)","32717"
"1100106","Guajará-Mirim (RO)","43553"
"1100114","Jaru (RO)","55583"
"1100122","Ji-Paraná (RO)","139359"
"1100130","Machadinho D'Oeste (RO)","34063"
"1100148","Nova Brasilândia D'Oeste (RO)","16504"
"1100155","Ouro Preto do Oeste (RO)","38681"
"1100189","Pimenta Bueno (RO)","39053"
"1100205","Porto Velho (RO)","514873"
"1100254","Presidente Médici (RO)","20518"
"1100262","Rio Crespo (RO)","3753"
"1100288","Rolim de Moura (RO)","62559"
"1100296","Santa Luzia D'Oeste (RO)","7877"
"1100304","Vilhena (RO)","108528"
"1100320","São Miguel do Guaporé (RO)","22267"
"1100338","Nova Mamoré (RO)","28496"
"1100346","Alvorada D'Oeste (RO)","13837"
"1100379","Alto Alegre dos Parecis (RO)","12263"
"1100403","Alto Paraíso (RO)","17463"
"1100452","Buritis (RO)","30729"
"1100502","Novo Horizonte do Oeste (RO)","8056"
"1100601","Cacaulândia (RO)","4345"
"1100700","Campo Novo de Rondônia (RO)","9225"
"1100809","Candeias do Jamari (RO)","24163"
"1100908","Castanheiras (RO)","3456"
"1100924","Chupinguaia (RO)","10129"
"1100940","Cujubim (RO)","15883"
"1101005","Governador Jorge Teixeira (RO)","8420"
"1101104","Itapuã do Oeste (RO)","9209"
"1101203","Ministro Andreazza (RO)","6657"
"1101302","Mirante da Serra (RO)","9740"
"1101401","Monte Negro (RO)","12241"
"1101435","Nova União (RO)","6577"
"1101450","Parecis (RO)","4390"
"1101468","Pimenteiras do Oeste (RO)","2311"
"1101476","Primavera de Rondônia (RO)","3279"
"1101484","São Felipe D'Oeste (RO)","5605"
"1101492","São Francisco do Guaporé (RO)","17511"
"1101500","Seringueiras (RO)","12954"
"1101559","Teixeirópolis (RO)","4536"
"1101609","Theobroma (RO)","8540"
"1101708","Urupá (RO)","11377"
"1101757","Vale do Anari (RO)","8265"
"1101807","Vale do Paraíso (RO)","6843"
"1200013","Acrelândia (AC)","14657"
"1200054","Assis Brasil (AC)","8573"
"1200104","Brasiléia (AC)","27841"
"1200138","Bujari (AC)","13766"
"1200179","Capixaba (AC)","10922"
"1200203","Cruzeiro do Sul (AC)","98382"
"1200252","Epitaciolândia (AC)","19739"
"1200302","Feijó (AC)","37644"
"1200328","Jordão (AC)","9787"
"1200336","Mâncio Lima (AC)","20329"
"1200344","Manoel Urbano (AC)","12776"
"1200351","Marechal Thaumaturgo (AC)","17951"
"1200385","Plácido de Castro (AC)","17127"
"1200393","Porto Walter (AC)","11275"
"1200401","Rio Branco (AC)","387852"
"1200427","Rodrigues Alves (AC)","15537"
"1200435","Santa Rosa do Purus (AC)","7143"
"1200450","Senador Guiomard (AC)","22352"
"1200500","Sena Madureira (AC)","43916"
"1200609","Tarauacá (AC)","46517"
"1200708","Xapuri (AC)","19090"
"1200807","Porto Acre (AC)","17455"
"1300029","Alvarães (AM)","16670"
"1300060","Amaturá (AM)","11411"
"1300086","Anamã (AM)","10318"
"1300102","Anori (AM)","17932"
"1300144","Apuí (AM)","21735"
"1300201","Atalaia do Norte (AM)","15892"
"1300300","Autazes (AM)","45328"
"1300409","Barcelos (AM)","18626"
"1300508","Barreirinha (AM)","33436"
"1300607","Benjamin Constant (AM)","40509"
"1300631","Beruri (AM)","22136"
"1300680","Boa Vista do Ramos (AM)","25769"
"1300706","Boca do Acre (AM)","38246"
"1300805","Borba (AM)","34879"
"1300839","Caapiranga (AM)","14310"
"1300904","Canutama (AM)","17885"
"1301001","Carauari (AM)","30892"
"1301100","Careiro (AM)","32442"
"1301159","Careiro da Várzea (AM)","19809"
"1301209","Coari (AM)","73820"
"1301308","Codajás (AM)","24451"
"1301407","Eirunepé (AM)","35534"
"1301506","Envira (AM)","17920"
"1301605","Fonte Boa (AM)","27875"
"1301654","Guajará (AM)","14332"
"1301704","Humaitá (AM)","62312"
"1301803","Ipixuna (AM)","25458"
"1301852","Iranduba (AM)","67114"
"1301902","Itacoatiara (AM)","112520"
"1301951","Itamarati (AM)","11730"
"1302009","Itapiranga (AM)","10805"
