Morbidade Hospitalar do SUS - por local de interna��o - Brasil
Interna��es por Munic�pio
Cap�tulo CID-10: V.   Transtornos mentais e comportamentais
Per�odo:2024
"Munic�pio";"Interna��es"
"110001 ALTA FLORESTA D'OESTE";54
"110002 ARIQUEMES";14
"110004 CACOAL";48
"110006 COLORADO DO OESTE";2
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";4
"110011 JARU";17
"110012 JI-PARANA";168
"110013 MACHADINHO D'OESTE";25
"110014 NOVA BRASILANDIA D'OESTE";11
"110015 OURO PRETO DO OESTE";32
"110018 PIMENTA BUENO";59
"110020 PORTO VELHO";1219
"110025 PRESIDENTE MEDICI";24
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";55
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";295
"110032 SAO MIGUEL DO GUAPORE";8
"110037 ALTO ALEGRE DOS PARECIS";1
"110045 BURITIS";13
"110050 NOVO HORIZONTE DO OESTE";5
"110094 CUJUBIM";7
"110140 MONTE NEGRO";3
"110145 PARECIS";2
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";18
"110150 SERINGUEIRAS";2
"110170 URUPA";2
"120001 ACRELANDIA";2
"120010 BRASILEIA";12
"120020 CRUZEIRO DO SUL";124
"120030 FEIJO";2
"120035 MARECHAL THAUMATURGO";6
"120038 PLACIDO DE CASTRO";3
"120039 PORTO WALTER";2
"120040 RIO BRANCO";1401
"120042 RODRIGUES ALVES";3
"120050 SENA MADUREIRA";7
"120060 TARAUACA";16
"120070 XAPURI";15
"130008 ANAMA";2
"130014 APUI";1
"130040 BARCELOS";7
"130050 BARREIRINHA";7
"130068 BOA VISTA DO RAMOS";1
"130100 CARAUARI";21
"130120 COARI";16
"130140 EIRUNEPE";25
"130150 ENVIRA";3
"130170 HUMAITA";5
"130180 IPIXUNA";4
"130185 IRANDUBA";3
"130190 ITACOATIARA";5
"130240 LABREA";1
"130250 MANACAPURU";87
"130260 MANAUS";562
"130270 MANICORE";1
"130290 MAUES";17
"130300 NHAMUNDA";5
"130310 NOVA OLINDA DO NORTE";1
"130340 PARINTINS";178
"130350 PAUINI";1
"130360 SANTA ISABEL DO RIO NEGRO";1
"130370 SANTO ANTONIO DO ICA";4
"130380 SAO GABRIEL DA CACHOEIRA";5
"130390 SAO PAULO DE OLIVENCA";8
"130395 SAO SEBASTIAO DO UATUMA";2
"130420 TEFE";2
"130426 UARINI";1
"140010 BOA VISTA";125
"140047 RORAINOPOLIS";5
"150034 AGUA AZUL DO NORTE";11
"150040 ALENQUER";18
"150080 ANANINDEUA";2
"150095 AURORA DO PARA";1
"150125 BANNACH";4
"150140 BELEM";3071
"150157 BOM JESUS DO TOCANTINS";4
"150170 BRAGANCA";507
"150180 BREVES";62
"150215 CANAA DOS CARAJAS";59
"150220 CAPANEMA";1
"150240 CASTANHAL";1
"150277 CURIONOPOLIS";8
"150280 CURRALINHO";4
"150293 DOM ELISEU";1
"150295 ELDORADO DOS CARAJAS";6
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";2
"150345 IPIXUNA DO PARA";2
"150360 ITAITUBA";1
"150370 ITUPIRANGA";1
"150375 JACAREACANGA";1
"150380 JACUNDA";6
"150405 MAE DO RIO";3
"150420 MARABA";159
"150442 MARITUBA";4
"150470 MOJU";1
"150480 MONTE ALEGRE";15
"150490 MUANA";1
"150497 NOVA IPIXUNA";1
"150503 NOVO PROGRESSO";14
"150510 OBIDOS";1
"150530 ORIXIMINA";1
"150540 OUREM";5
"150543 OURILANDIA DO NORTE";3
"150548 PACAJA";18
"150550 PARAGOMINAS";2
"150553 PARAUAPEBAS";399
"150555 PAU D'ARCO";1
"150565 PLACAS";3
"150580 PORTEL";31
"150590 PORTO DE MOZ";1
"150613 REDENCAO";75
"150616 RIO MARIA";10
"150618 RONDON DO PARA";2
"150619 RUROPOLIS";12
"150620 SALINOPOLIS";1
"150650 SANTA IZABEL DO PARA";21
"150658 SANTA MARIA DAS BARREIRAS";1
"150660 SANTA MARIA DO PARA";5
"150670 SANTANA DO ARAGUAIA";47
"150680 SANTAREM";11
"150730 SAO FELIX DO XINGU";1
"150745 SAO GERALDO DO ARAGUAIA";5
"150747 SAO JOAO DE PIRABAS";1
"150760 SAO MIGUEL DO GUAMA";7
"150775 SAPUCAIA";6
"150797 TERRA SANTA";1
"150805 TRAIRAO";9
"150808 TUCUMA";2
"150810 TUCURUI";1
"150812 ULIANOPOLIS";11
"150815 URUARA";4
"150835 VITORIA DO XINGU";8
"150840 XINGUARA";178
"160010 AMAPA";10
"160027 LARANJAL DO JARI";11
"160030 MACAPA";59
"160050 OIAPOQUE";17
"170070 ALVORADA";2
"170200 ARAGUACU";1
"170210 ARAGUAINA";376
"170230 ARAPOEMA";7
"170240 ARRAIAS";10
"170255 AUGUSTINOPOLIS";1
"170550 COLINAS DO TOCANTINS";21
"170700 DIANOPOLIS";1
"170820 FORMOSO DO ARAGUAIA";4
"170930 GUARAI";11
"170950 GURUPI";166
"171320 MIRACEMA DO TOCANTINS";1
"171610 PARAISO DO TOCANTINS";102
"171620 PARANA";1
"171650 PEDRO AFONSO";9
"171750 PIUM";7
"171820 PORTO NACIONAL";73
"172090 TAGUATINGA";1
"172100 PALMAS";568
"172120 TOCANTINOPOLIS";39
"172210 XAMBIOA";4
"210005 ACAILANDIA";52
"210047 ALTO ALEGRE DO PINDARE";45
"210060 AMARANTE DO MARANHAO";54
"210070 ANAJATUBA";3
"210083 APICUM-ACU";3
"210120 BACABAL";34
"210130 BACURI";3
"210140 BALSAS";1
"210170 BARREIRINHAS";2
"210177 BELA VISTA DO MARANHAO";1
"210193 BERNARDO DO MEARIM";24
"210200 BOM JARDIM";1
"210210 BREJO";1
"210230 BURITI BRAVO";6
"210232 BURITICUPU";5
"210250 CAJARI";4
"210280 CAROLINA";2
"210325 CIDELANDIA";10
"210330 CODO";85
"210340 COELHO NETO";5
"210360 COROATA";1
"210380 DOM PEDRO";2
"210400 ESPERANTINOPOLIS";7
"210405 ESTREITO";3
"210408 FERNANDO FALCAO";2
"210409 FORMOSA DA SERRA NEGRA";2
"210420 FORTUNA";4
"210440 GONCALVES DIAS";6
"210450 GOVERNADOR ARCHER";4
"210460 GOVERNADOR EUGENIO BARROS";3
"210465 GOVERNADOR NEWTON BELLO";3
"210467 GOVERNADOR NUNES FREIRE";28
"210480 GRAJAU";5
"210500 HUMBERTO DE CAMPOS";2
"210520 IGARAPE GRANDE";3
"210530 IMPERATRIZ";20
"210542 ITINGA DO MARANHAO";1
"210570 LAGO DA PEDRA";11
"210600 LIMA CAMPOS";1
"210610 LORETO";2
"210640 MATA ROMA";3
"210667 MILAGRES DO MARANHAO";1
"210675 MIRANDA DO NORTE";2
"210680 MIRINZAL";4
"210690 MONCAO";6
"210710 MORROS";1
"210720 NINA RODRIGUES";1
"210740 OLHO D'AGUA DAS CUNHAS";2
"210770 PARAIBANO";5
"210800 PASTOS BONS";1
"210820 PEDREIRAS";11
"210825 PEDRO DO ROSARIO";1
"210845 PERITORO";1
"210850 PINDARE-MIRIM";1
"210860 PINHEIRO";1
"210870 PIO XII";13
"210900 PORTO FRANCO";56
"210927 PRESIDENTE SARNEY";1
"210930 PRESIDENTE VARGAS";2
"210980 SANTA HELENA";9
"210990 SANTA INES";4
"211000 SANTA LUZIA";2
"211003 SANTA LUZIA DO PARUA";1
